id,code,name,ID,Country,Region,Flood,Earthquake,TC-Wind,TC-Surge,Drought,Tsunami,Volcano,Landslide
10558,23,Bangladesh,16,Bangladesh,23,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10559,24,Barbados,17,Barbados,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10560,26,Belarus,18,Belarus,12,Climate change impacts: High confidence in more frequent and intense precipitation days in winter and an increase in the number of extreme rainfall events.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and an increase in short-term drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10561,27,Belgium,19,Belgium,11,Climate change impacts: High confidence in more frequent and intense precipitation days and an increase in the number of extreme rainfall events. ,NA,NA,NA,Climate change impact: Medium confidence in no major changes in dryness.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10562,28,Belize,20,Belize,6,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Medium confidence in an increase in drought tendency.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10563,29,Benin,21,Benin,15,Climate change impacts: Medium confidence of little change in amount or intensity of precipitation.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10571,30,Bermuda (U.K.),22,Bermuda,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10572,31,Bhutan,23,Bhutan,23,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10573,33,Bolivia,24,Bolivia,7-10,"Climate change impacts: Medium confidence in an increase in extreme precipitation and an increase in the number of extreme rainfall events. In southern Bolivia, medium confidence in a daily increase in precipitation.",NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,Climate change impact: Future ice mass loss on volcanoes currently under glaciers could lead to eruptions (IPCC 2013).,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10574,34,Bosnia and Herzegovina,25,Bosnia and Herzegovina,13,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and a consistent increase in the physical area of drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10575,35,Botswana,26,Botswana,17,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and an increase in the physical area of drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10577,37,Brazil,27,Brazil,7-8,"Climate change impacts: In western Brazil, medium confidence in an increase in extreme precipitation and an increase in the number of extreme rainfall events. Elsewhere, model projections are inconsistent in changes in rainfall.",NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.","Climate change impact: In western Brazil, model projections are inconsistent in changes in drought. In northeast Brazil, medium confidence in an increase in drought tendency.","Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10580,40,Brunei Darussalam,28,Brunei Darussalam,24,Climate change impacts: Medium confidence in more frequent and intense heavy precipitation days and an increase in the number of extreme rainfall events.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10581,41,Bulgaria,29,Bulgaria,13,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency and a consistent increase in the physical area of drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10582,42,Burkina Faso,30,Burkina Faso,15,Climate change impacts: Medium confidence of little change in amount or intensity of precipitation.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10583,43,Burundi,31,Burundi,16,Climate change impacts: High confidence in an increase in intense precipitation.,NA,NA,NA,Climate change impact: Medium confidence in decreasing dryness.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10587,47,Cabo Verde,32,Cabo Verde,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10584,44,Cambodia,33,Cambodia,24,Climate change impacts: Medium confidence in more frequent and intense heavy precipitation days and an increase in the number of extreme rainfall events.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10585,45,Cameroon,34,Cameroon,15,Climate change impacts: Medium confidence of little change in amount or intensity of precipitation.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10586,46,Canada,35,Canada,1-2-3,"Climate change impacts: In western Canada, medium confidence in an increase in days of intense precipitation. In western and central Canada, medium confidence in an increase in the number of extreme rainfall events. In northwestern and eastern Canada, high confidence in an increase in days of intense precipitation and the number of extreme rainfall events.",NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10589,48,Cayman Islands (U.K.),36,Cayman Islands,,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10590,49,Central African Republic,37,Central African Republic,15,Climate change impacts: Medium confidence of little change in amount or intensity of precipitation.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10591,50,Chad,38,Chad,14,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Model projections are inconsistent in changes in drought.,NA,NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10592,51,Chile,40,Chile,9,Climate change impacts: Model projections are inconsistent in changes in rainfall.,NA,NA,NA,Climate change impact: Medium confidence in an increase in drought tendency.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",Climate change impact: Future ice mass loss on volcanoes currently under glaciers could lead to eruptions (IPCC 2013).,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10593,53,China,41,China,21-22,Climate change impacts: Medium confidence in an increase in heavy precipitation.,NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",NA,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
10610,57,Colombia,42,Colombia,6-7,"Climate change impacts: In northern Colombia, model projections are inconsistent in changes in rainfall. In southern Colombia, medium confidence in an increase in extreme precipitation and an increase in the number of extreme rainfall events.",NA,"Climate change impact: Global average tropical cyclone wind speed and rainfall is likely to increase in the future, and the global average frequency of tropical cyclones is likely to decrease or remain unchanged. It is possible that the frequency of the most intense tropical cyclones will increase substantially in some ocean regions (IPCC, 2013).","Climate change impact: According to the IPCC (2013), there is high confidence that extremes in sea level will increase with mean sea level rise yet there is low confidence in region-specific projections in storm surges.",Climate change impact: Model projections are inconsistent in changes in drought.,"Climate change impact: The areas at risk of tsunami will increase as global mean sea level rises. According to the IPCC (2013), global mean sea level rise depends on a variety of factors, and estimates for 2100 range from ~20 cm to nearly 1 m. However, regional changes in sea level are difficult to predict.",Climate change impact: Future ice mass loss on volcanoes currently under glaciers could lead to eruptions (IPCC 2013).,"Climate change impact: Climate change is likely to alter slope and bedrock stability through changes in precipitation and/or temperature. It is difficult to determine future locations and timing of large rock avalanches, as these depend on local geological conditions and other non-climatic factors. "
